,id,rated,variant,speed,createdAt,lastMoveAt,status,winner,moves,clock,white_player_name,white_ranking,black_player_name,black_ranking
30,9YLTV69n,True,standard,blitz,2023-05-18 00:31:08.137000+02:00,2023-05-18 00:32:27.220000+02:00,resign,white,12,300,Alithium,1792,EvilSaintPL,1744
31,yfGRGIMD,True,standard,blitz,2023-05-18 00:26:44.114000+02:00,2023-05-18 00:31:04.336000+02:00,mate,white,24,300,krimoxe,1755,EvilSaintPL,1751
32,OSLo2DYj,True,standard,blitz,2023-05-18 00:18:19.515000+02:00,2023-05-18 00:26:39.192000+02:00,draw,,56,300,EvilSaintPL,1751,jimshushu,1746
33,vUgpzFyn,True,standard,blitz,2023-05-16 16:49:55.145000+02:00,2023-05-16 17:00:04.291000+02:00,outoftime,white,56,300,EvilSaintPL,1744,Nik1965sps,1738
34,ywtg3IM1,True,standard,blitz,2023-05-16 00:41:34.596000+02:00,2023-05-16 00:51:22.549000+02:00,outoftime,black,52,300,GoldMedalist,1676,EvilSaintPL,1738
35,8NnOnXpm,True,standard,blitz,2023-05-16 00:29:44.907000+02:00,2023-05-16 00:39:47.946000+02:00,outoftime,black,51,300,nikruslan,1790,EvilSaintPL,1730
36,mxoUJi3u,True,standard,blitz,2023-05-16 00:20:08.267000+02:00,2023-05-16 00:29:30.847000+02:00,outoftime,black,46,300,ismailsivri,1723,EvilSaintPL,1722
37,oudK7n1t,True,standard,blitz,2023-04-26 19:07:33.996000+02:00,2023-04-26 19:12:52.529000+02:00,draw,,40,300,EvilSaintPL,1722,grtv,1737
38,BJcFxljv,True,standard,blitz,2023-04-26 18:58:45.210000+02:00,2023-04-26 19:05:54.627000+02:00,resign,black,30,300,EvilSaintPL,1729,gscetin,1713
39,XTBafLEw,True,standard,blitz,2023-04-26 18:56:28.875000+02:00,2023-04-26 18:58:09.367000+02:00,resign,black,14,300,EvilSaintPL,1735,mohammadsene,1770
40,wEMg6tXd,True,standard,blitz,2023-04-26 18:40:35.498000+02:00,2023-04-26 18:45:14.401000+02:00,resign,black,26,300,Aleks0811,1705,EvilSaintPL,1728
41,yOUF1Emq,True,standard,blitz,2023-04-26 18:38:11.362000+02:00,2023-04-26 18:40:19.820000+02:00,resign,black,16,300,EvilSaintPL,1736,poep_majoor,1680
42,gdnh9Hxm,True,standard,blitz,2023-04-26 17:58:06.759000+02:00,2023-04-26 18:05:22.312000+02:00,resign,white,48,300,EvilSaintPL,1729,adelsonsk8,1721
43,pGQh18hG,True,standard,blitz,2023-04-26 17:49:05.141000+02:00,2023-04-26 17:57:01.907000+02:00,resign,black,55,300,darshanmandrekar,1756,EvilSaintPL,1722
44,JyDug2g3,True,standard,blitz,2023-04-26 17:44:49.577000+02:00,2023-04-26 17:48:45.629000+02:00,resign,black,32,300,huntertn000,1685,EvilSaintPL,1715
45,k2SOUelM,True,standard,blitz,2023-04-24 17:46:54.017000+02:00,2023-04-24 17:56:20.205000+02:00,outoftime,black,39,300,EvilSaintPL,1722,ChipungO,1732
46,n8FeXtBt,True,standard,blitz,2023-04-24 17:45:09.195000+02:00,2023-04-24 17:46:05.433000+02:00,timeout,white,7,300,EvilSaintPL,1717,sampsonisozziesdad,1631
47,DyXfh6pf,True,standard,blitz,2023-04-24 17:41:05.796000+02:00,2023-04-24 17:45:07.285000+02:00,resign,white,33,300,Angel123321,1752,EvilSaintPL,1723
48,9zEeCRhu,True,standard,blitz,2023-04-24 16:44:46.993000+02:00,2023-04-24 16:49:01.415000+02:00,resign,black,31,300,EvilSaintPL,1731,h2Omellon,1734
49,d05nBOfC,True,standard,blitz,2023-04-24 16:33:11.519000+02:00,2023-04-24 16:43:27.201000+02:00,draw,,81,300,EvgenyLovanov,1713,EvilSaintPL,1731
50,YUg0hOUM,True,standard,blitz,2023-04-24 16:29:09.711000+02:00,2023-04-24 16:33:07.489000+02:00,mate,white,29,300,walmung21,1695,EvilSaintPL,1740
51,S4C87L9Y,True,standard,blitz,2023-04-24 16:26:10.373000+02:00,2023-04-24 16:28:30.947000+02:00,resign,black,15,300,EvilSaintPL,1748,Apti82,1759
52,b7whFsZa,True,standard,blitz,2023-04-24 16:14:30.598000+02:00,2023-04-24 16:24:41.191000+02:00,outoftime,black,53,300,IDSTEAM,1704,EvilSaintPL,1741
53,EIgaBzUG,True,standard,blitz,2023-03-12 10:25:35.041000+01:00,2023-03-12 10:31:48.194000+01:00,outoftime,white,77,180,EvilSaintPL,1735,Steve-58,1726
54,LtI9VyNN,True,standard,blitz,2023-03-11 19:20:21.870000+01:00,2023-03-11 19:21:54.807000+01:00,resign,black,7,300,JBPMinira,1758,EvilSaintPL,1729
55,CtzFdLSE,True,standard,blitz,2023-03-11 19:18:05.811000+01:00,2023-03-11 19:20:13.688000+01:00,resign,white,17,300,goranovich,1837,EvilSaintPL,1733
56,U8RSLapn,True,standard,blitz,2023-03-11 19:16:55.759000+01:00,2023-03-11 19:17:58.119000+01:00,mate,black,10,300,EvilSaintPL,1739,HassanEden,1740
57,aHjka4CK,True,standard,blitz,2023-03-11 19:11:27.291000+01:00,2023-03-11 19:15:41.121000+01:00,resign,black,22,300,Mollet21,1671,EvilSaintPL,1734
58,JgTWODm5,True,standard,blitz,2023-03-09 14:26:00.769000+01:00,2023-03-09 14:34:41.467000+01:00,stalemate,,76,300,EvilSaintPL,1734,jarekrisna,1711
59,1uvR1Xyj,True,standard,blitz,2023-03-07 13:49:16.895000+01:00,2023-03-07 13:59:30.064000+01:00,outoftime,black,108,300,sstoniss,1720,EvilSaintPL,1729
60,Rd60klF4,True,standard,blitz,2023-03-07 13:39:40.526000+01:00,2023-03-07 13:44:52.806000+01:00,resign,white,28,300,EvilSaintPL,1723,BlackKnight369,1705
61,3BPMF5wj,True,standard,blitz,2023-03-07 13:37:27.230000+01:00,2023-03-07 13:38:52.235000+01:00,resign,black,17,300,EvilSaintPL,1728,lutschaflutscha,1773
62,OeKRRkcp,True,standard,blitz,2023-03-07 08:53:41.310000+01:00,2023-03-07 08:58:00.188000+01:00,resign,white,38,300,EvilSaintPL,1724,guustaaf,1646
63,U7yiWzr6,True,standard,blitz,2023-03-07 08:11:16.089000+01:00,2023-03-07 08:20:14.172000+01:00,resign,black,57,300,ysh380659,1687,EvilSaintPL,1719
64,GBqjD0N0,True,standard,blitz,2023-03-07 08:08:27.578000+01:00,2023-03-07 08:09:29.037000+01:00,resign,white,4,300,shadyx5,1642,EvilSaintPL,1726
65,NLx4Ua74,True,standard,blitz,2023-03-07 08:02:16.213000+01:00,2023-03-07 08:08:19.952000+01:00,resign,black,28,300,EvilSaintPL,1731,Mukhanov53,1783
66,NYxZsl8d,True,standard,blitz,2023-03-06 18:16:51.949000+01:00,2023-03-06 18:17:13.026000+01:00,resign,black,6,300,EvilSaintPL,1739,mazzamuz,1613
67,IhdOuNFE,True,standard,blitz,2023-03-06 18:13:21.183000+01:00,2023-03-06 18:16:19.007000+01:00,resign,black,23,300,EvilSaintPL,1745,SoloveyEP61,1722
68,tBLGDoh2,True,standard,blitz,2023-03-06 18:08:27.340000+01:00,2023-03-06 18:13:04.930000+01:00,resign,white,23,300,niyazialiev,1833,EvilSaintPL,1750
69,8cLjwumm,True,standard,blitz,2023-03-06 17:46:33.289000+01:00,2023-03-06 17:55:07.337000+01:00,resign,black,57,300,Bobjah,1686,EvilSaintPL,1745
70,KK1O2aPr,True,standard,blitz,2023-03-03 17:53:36.167000+01:00,2023-03-03 18:02:55.402000+01:00,resign,black,47,300,Ehabshaami,1792,EvilSaintPL,1737
71,0iijSeGL,True,standard,blitz,2023-03-03 17:45:54.107000+01:00,2023-03-03 17:53:25.759000+01:00,resign,black,48,300,EvilSaintPL,1743,Nurgagand1963,1791
72,WM2WjAaV,True,standard,blitz,2023-03-03 17:40:44.465000+01:00,2023-03-03 17:45:41.222000+01:00,resign,white,31,300,grasm_5,1762,EvilSaintPL,1749
73,17zaLcAg,True,standard,blitz,2023-03-03 17:37:20.689000+01:00,2023-03-03 17:40:27.214000+01:00,resign,black,29,300,EvilSaintPL,1756,Jaguarnegro,1743
74,x8Ld9YAW,True,standard,blitz,2023-03-03 17:28:43.404000+01:00,2023-03-03 17:37:11.648000+01:00,mate,white,34,300,Fedlerico,1784,EvilSaintPL,1762
75,v7kHuHGN,True,standard,blitz,2023-03-03 17:24:59.750000+01:00,2023-03-03 17:28:06.573000+01:00,resign,black,18,300,EvilSaintPL,1768,AlexandrK555,1765
76,H6kuHJFx,True,standard,blitz,2023-03-02 19:43:42.706000+01:00,2023-03-02 19:49:13.545000+01:00,resign,white,25,300,EvilSaintPL,1762,luionline,1770
77,8OwcL0iz,True,standard,blitz,2023-03-02 19:30:08.543000+01:00,2023-03-02 19:40:12.587000+01:00,outoftime,black,38,300,EvilSaintPL,1768,Grimace973,1786
78,NZkVnxJv,True,standard,blitz,2023-03-02 19:28:23.134000+01:00,2023-03-02 19:29:41.387000+01:00,resign,black,14,300,PepaDeMelon,1761,EvilSaintPL,1761
